age,income,expenses,savings,debt,risk_tolerance,savings_rate,expense_ratio,debt_ratio,financial_segment,risk_encoded,cluster
30,125402,54922,55124,7347,Low,0.4395783161353088,0.4379674965311558,0.0585875823352099,High Saver,0,1
39,32983,57913,57870,33776,Low,1.7545402176879,1.755843919594943,1.0240426886577934,,0,2
25,127241,70677,61547,3783,Low,0.4837041519635966,0.5554577533970968,0.0297309829378895,High Saver,0,2
46,50662,64841,69110,4298,Low,1.3641388022581027,1.2798744621215112,0.0848367612806442,,0,2
35,53510,61332,58554,4668,Low,1.0942627546253036,1.1461782844328163,0.0872360306484769,,0,2
30,108187,40032,25936,20671,Medium,0.2397330548032573,0.3700259735458049,0.1910673186242339,Medium Saver,1,1
47,70998,52846,9426,34820,High,0.132764303219809,0.7443308262204569,0.4904363503197273,Low Saver,2,0
23,86846,74474,32606,34484,Medium,0.375446192110172,0.8575409345277848,0.3970706768302512,Medium Saver,1,0
41,124071,59936,52832,33078,Low,0.4258206994382248,0.4830782374608087,0.266605411417656,High Saver,0,2
49,36640,44794,33151,47159,Medium,0.9047762008733624,1.2225436681222708,1.2870906113537115,High Saver,1,0
28,74547,76588,16308,20922,Medium,0.218761318362912,1.0273787006854735,0.280655157149181,Medium Saver,1,0
29,84620,85984,67522,34028,Low,0.7979437485228078,1.0161191207752305,0.4021271567005436,High Saver,0,2
56,45317,65331,50671,45925,Low,1.1181455083081404,1.4416444160028246,1.0134165986274466,,0,2
35,145608,43141,7204,20316,High,0.0494753035547497,0.2962817977034229,0.1395253008076479,Low Saver,2,1
38,37564,24074,36131,11460,Medium,0.9618517729741242,0.6408795655414758,0.3050793312746246,High Saver,1,1
57,57345,21406,57428,16968,Low,1.0014473798936263,0.3732845060598134,0.295893277530735,,0,1
25,143824,38291,38870,30266,Medium,0.2702608744020469,0.2662351207030815,0.2104377572588719,Medium Saver,1,1
23,124223,56568,54067,30209,Low,0.4352414609210854,0.4553746085668515,0.2431836294406028,High Saver,0,2
27,109273,61851,63585,24000,Low,0.5818912265609986,0.5660227137536262,0.2196333952577489,High Saver,0,2
25,104859,69823,26607,14011,Medium,0.2537407375618687,0.6658751275522368,0.1336175244852611,Medium Saver,1,0
50,110765,38312,29968,2866,Medium,0.270554778133887,0.3458854331241818,0.0258745993770595,Medium Saver,1,1
39,140017,58108,16908,47133,Medium,0.1207567652499339,0.4150067491804566,0.3366234100144982,Low Saver,1,0
47,104038,81918,31423,5898,Medium,0.3020338722389896,0.7873853784194237,0.0566908245064303,Medium Saver,1,0
55,82393,49171,79707,18395,Low,0.96740014321605,0.5967861347444564,0.2232592574611921,High Saver,0,2
31,96081,56779,66215,39019,Low,0.689158106181243,0.5909493031920984,0.4061052653490284,High Saver,0,2
57,132650,83828,60835,37707,Low,0.4586128910667169,0.6319487372785526,0.2842593290614398,High Saver,0,2
35,59430,27411,54429,4006,Low,0.9158505805148914,0.4612317011610298,0.067407033484772,High Saver,0,1
52,105532,72009,43458,34393,Low,0.4117992646780123,0.6823427964977448,0.3259011484668157,High Saver,0,2
36,57788,30422,51169,10956,Low,0.8854606492697445,0.5264414757389078,0.189589534159341,High Saver,0,1
29,125505,57468,12659,30663,High,0.1008645073901438,0.4578941078044699,0.2443169594836859,Low Saver,2,0
35,78543,47371,65614,6078,Low,0.8353895318487962,0.6031218568172848,0.077384362705779,High Saver,0,2
44,43919,72022,37793,29631,Medium,0.860515949816708,1.6398825109861337,0.6746738313713883,High Saver,1,0
42,99346,86229,51473,30140,Low,0.5181184949570189,0.8679665009159906,0.3033841322247498,High Saver,0,2
37,126122,66196,60751,41691,Low,0.4816844008182553,0.5248568846037963,0.3305608854918254,High Saver,0,2
39,69974,41715,59254,3961,Low,0.846800240089176,0.5961499985708978,0.0566067396461542,High Saver,0,1
45,137309,42605,12006,29277,High,0.0874378227210161,0.3102855603055881,0.2132198180745617,Low Saver,2,1
47,46371,46174,79218,41574,Low,1.708352202885424,0.9957516551292834,0.896551724137931,,0,2
46,75084,24956,70344,31417,Low,0.936870704810612,0.3323744073304565,0.4184246976719407,High Saver,0,2
50,59629,84252,38840,22484,Medium,0.6513609149910279,1.412936658337386,0.377064850995321,High Saver,1,0
36,81184,76949,37430,18103,Medium,0.4610514387071344,0.9478345486795428,0.2229872881355932,High Saver,1,0
22,91916,77646,28091,29345,Medium,0.3056159972148483,0.8447495539405544,0.3192588885504156,Medium Saver,1,0
46,103972,85017,37983,46326,Medium,0.3653195090986034,0.8176913015042512,0.4455622667641288,Medium Saver,1,0
28,92187,78037,28989,39454,Medium,0.3144586546910085,0.8465076420753469,0.4279779144564852,Medium Saver,1,0
30,42984,21548,23990,1587,Medium,0.5581146473106272,0.5013028103480365,0.0369207146845337,High Saver,1,1
45,63039,88294,41081,42571,Low,0.6516759466362093,1.4006250099144977,0.6753121083773537,High Saver,0,0
22,115431,38177,16033,21031,Medium,0.13889683014095,0.3307343781133318,0.1821954241061759,Low Saver,1,1
29,113691,39022,21241,26212,Medium,0.1868309716688216,0.343228575700803,0.2305547492765478,Low Saver,1,1
45,88606,20542,10939,10350,High,0.1234566507911428,0.2318353158928289,0.1168092454235604,Low Saver,2,1
32,40616,75428,52562,18816,Low,1.294120543628127,1.857100649990152,0.4632657080953319,,0,2
38,132665,37740,40063,20288,Low,0.3019862058568575,0.284475935627332,0.1529265443033204,Medium Saver,0,1
29,135373,74353,32045,29432,Medium,0.2367163319125675,0.5492454182148582,0.2174141076876482,Medium Saver,1,0
56,80072,71532,49769,44222,Low,0.6215531022080127,0.8933459886102508,0.5522779498451393,High Saver,0,2
56,54574,31052,52118,48617,Low,0.9549968849635356,0.5689888958111922,0.8908454575438853,High Saver,0,2
54,33430,62076,26625,6837,Medium,0.796440323063117,1.856895004486988,0.2045169009871373,High Saver,1,0
26,149123,68420,32076,34217,Medium,0.215097603991336,0.4588158768265123,0.2294548795289794,Medium Saver,1,0
49,42676,15671,69805,20884,Low,1.6356968788077608,0.3672087355890899,0.4893617021276595,,0,1
28,40816,15163,49605,5454,Low,1.2153322226577812,0.3714964719717757,0.1336240689925519,,0,1
30,62733,56424,44121,9424,Low,0.7033140452393477,0.8994309215245565,0.1502239650582628,High Saver,0,2
29,115680,68744,70101,36885,Low,0.6059906639004149,0.5942600276625173,0.318853734439834,High Saver,0,2
33,32050,85331,36433,41637,Medium,1.1367550702028082,2.6624336973478937,1.299126365054602,,1,0
55,139996,25634,48309,43618,Low,0.3450741449755707,0.1831052315780451,0.3115660447441356,Medium Saver,0,1
54,63933,19798,72468,18412,Low,1.1334991319037118,0.3096679336180064,0.287988988472307,,0,1
44,54951,37420,49254,47111,Low,0.8963258175465415,0.680970319011483,0.8573274371712981,High Saver,0,2
45,62413,44300,72293,39613,Low,1.158300354092897,0.7097880249307036,0.6346914905548523,,0,2
58,64801,25749,42853,20142,Low,0.6613015231246432,0.3973549790898288,0.3108285365966574,High Saver,0,1
56,85619,40121,43405,37392,Low,0.5069552318994616,0.4685992595101554,0.4367254931732443,High Saver,0,1
43,62913,52487,71652,8848,Low,1.1389061084354586,0.834279083814156,0.1406386597364614,,0,2
48,142573,48361,48527,49317,Low,0.3403659879500326,0.3392016721258583,0.3459070090409825,Medium Saver,0,1
56,149076,36223,5492,13136,High,0.0368402693927929,0.242983444685932,0.0881161286860393,Low Saver,2,1
22,70600,87930,13811,589,High,0.1956232294617563,1.2454674220963171,0.008342776203966,Low Saver,2,0
56,87775,29056,29272,20908,Medium,0.3334890344631159,0.3310281970948447,0.238199943036172,Medium Saver,1,1
58,120816,43380,77010,6509,Low,0.6374155740961462,0.3590584028605483,0.0538753145278771,High Saver,0,1
35,120093,41035,52153,40461,Low,0.4342717727094835,0.341693520854671,0.3369138917339062,High Saver,0,1
24,142590,45620,59110,42222,Low,0.4145451995231082,0.3199382845921873,0.2961077214390911,High Saver,0,1
22,65400,34877,18979,49223,Medium,0.2901987767584097,0.5332874617737003,0.7526452599388379,Medium Saver,1,0
26,34494,70316,33328,44476,Medium,0.9661970197715544,2.038499449179568,1.289383660926538,High Saver,1,0
47,110688,79041,17867,45710,Medium,0.1614176785198034,0.714088248048569,0.4129625614339404,Low Saver,1,0
35,119431,68352,64234,49420,Low,0.5378335608007971,0.5723137208932354,0.4137954132511659,High Saver,0,2
48,104691,45911,30851,9968,Medium,0.2946862672053949,0.4385381742461147,0.0952135331594884,Medium Saver,1,1
30,127419,47784,36279,2462,Medium,0.2847220587196571,0.3750147152308525,0.0193220791247773,Medium Saver,1,1
36,138730,18191,78402,9460,Low,0.5651409212138687,0.1311252072370792,0.0681900093707201,High Saver,0,1
36,73001,48160,20449,33783,Medium,0.2801194504184874,0.6597169901782167,0.4627744825413351,Medium Saver,1,0
47,97364,79641,10451,9275,High,0.1073394683866726,0.8179717349328294,0.0952610821248099,Low Saver,2,0
34,75028,64723,46316,28677,Low,0.6173162019512716,0.8626512768566402,0.3822173055392653,High Saver,0,2
53,137434,18631,68064,13269,Low,0.4952486284325567,0.1355632521792278,0.0965481612992418,High Saver,0,1
53,127659,21172,68761,406,Low,0.5386302571694906,0.1658480796496917,0.0031803476448977,High Saver,0,1
25,67573,57080,43870,7384,Low,0.6492238024062865,0.84471608482678,0.1092744143370873,High Saver,0,2
51,30806,35281,35873,22553,Medium,1.164480945270402,1.1452639096279946,0.7320976433162371,,1,0
58,86638,43671,63627,24366,Low,0.7344006094323507,0.5040628823380041,0.2812391791130912,High Saver,0,2
44,136506,66431,71155,44036,Low,0.521259138792434,0.4866526013508563,0.3225938786573484,High Saver,0,2
36,59757,43602,30372,17369,Medium,0.5082584467091722,0.7296551031678297,0.2906605083923222,High Saver,1,0
50,64636,66399,8642,11795,High,0.1337025806052354,1.027275821523609,0.182483445757782,Low Saver,2,0
57,110097,38472,33001,4485,Medium,0.299744770520541,0.3494373143682389,0.0407368048175699,Medium Saver,1,1
34,78280,64230,39064,41669,Medium,0.4990291262135922,0.8205160960654062,0.5323071027082269,High Saver,1,0
53,54262,88616,19122,2618,Medium,0.3524013121521507,1.633113412701338,0.0482473922818915,Medium Saver,1,0
28,110435,22099,29820,30143,Medium,0.2700230905057273,0.2001086612034228,0.2729478878978584,Medium Saver,1,1
43,92211,40431,73431,29425,Low,0.7963366626541302,0.4384617887236881,0.3191050959213109,High Saver,0,2
49,84842,71492,60745,22673,Low,0.7159779354564956,0.8426486881497371,0.2672379246128097,High Saver,0,2
23,86979,62684,55081,9603,Low,0.6332678002736293,0.7206797042964393,0.1104059600593246,High Saver,0,2
27,144524,45111,75902,39696,Low,0.5251861282555147,0.3121350087182751,0.2746671833051949,High Saver,0,2
49,111470,78936,13711,5368,High,0.1230017044944828,0.7081367183995694,0.0481564546514757,Low Saver,2,0
49,68197,37614,23793,4621,Medium,0.3488863146472719,0.5515491883807205,0.0677595788671056,Medium Saver,1,1
41,71844,56991,13199,14719,High,0.1837174990256667,0.7932603975279773,0.2048744501976504,Low Saver,2,0
51,94754,85476,41191,29227,Low,0.4347151571437617,0.902083289359816,0.3084513582540051,High Saver,0,0
32,131868,75920,15211,43894,Medium,0.115350198683532,0.575727242393909,0.3328631661964995,Low Saver,1,0
49,64157,78530,68069,7566,Low,1.0609754196736132,1.2240285549511356,0.1179294543074021,,0,2
46,107129,51224,61746,12306,Low,0.5763705439236808,0.4781525077243323,0.1148708566307909,High Saver,0,2
54,70042,22788,26542,24042,Medium,0.3789440621341481,0.3253476485537249,0.3432511921418577,Medium Saver,1,1
22,91665,43082,36312,15086,Medium,0.3961381116020291,0.4699939998909071,0.164577537773414,Medium Saver,1,1
48,145512,31531,50242,17387,Low,0.3452773654406509,0.2166900324371873,0.1194884270713068,Medium Saver,0,1
34,146953,59857,60388,27042,Low,0.4109341081842493,0.4073207079814634,0.1840180193667363,High Saver,0,2
24,112856,25142,32691,23888,Medium,0.2896700219749061,0.2227794711845183,0.2116679662578861,Medium Saver,1,1
27,57376,63355,27601,26514,Medium,0.4810547964305633,1.104207334076966,0.4621095928611266,High Saver,1,0
29,139049,24866,23020,18323,Medium,0.1655531503283015,0.1788290458759142,0.1317736912886824,Low Saver,1,1
48,85554,85067,13155,18019,High,0.1537625359422119,0.9943076887112232,0.2106155176847371,Low Saver,2,0
30,44199,79027,74119,9890,Low,1.6769383922713184,1.7879816285436323,0.2237607185682934,,0,2
58,148533,72906,41777,40863,Low,0.2812640961941117,0.4908404193007614,0.2751105814869423,Medium Saver,0,0
54,111412,43138,24710,45487,Medium,0.2217893943201809,0.3871934800560083,0.4082773848418483,Medium Saver,1,0
45,80948,44956,29532,10283,Medium,0.3648268023916588,0.5553688787863814,0.1270321687997233,Medium Saver,1,1
36,103781,20439,23601,18279,Medium,0.2274115685915533,0.1969435638508012,0.1761305055838737,Medium Saver,1,1
53,102750,62241,68227,46999,Low,0.6640097323600973,0.6057518248175182,0.4574111922141119,High Saver,0,2
53,96262,57533,9967,22908,High,0.103540337828011,0.597670939726995,0.2379755251293345,Low Saver,2,0
45,147424,43270,25022,47466,Medium,0.1697281311048404,0.2935071630128066,0.3219692858693292,Low Saver,1,1
33,76600,54279,48463,37952,Low,0.6326762402088772,0.7086031331592689,0.4954569190600522,High Saver,0,2
23,106898,38888,79671,35170,Low,0.7452992572358698,0.3637860390278583,0.3290052199292784,High Saver,0,2
24,92483,32630,10722,37663,High,0.1159348204534887,0.3528215996453402,0.407242412118984,Low Saver,2,0
58,48297,76063,32413,44172,Medium,0.6711182889206369,1.5749011325755222,0.9145909683831294,High Saver,1,0
38,60448,50144,71732,47929,Low,1.1866728427739546,0.8295394388565378,0.792896373742721,,0,2
23,56172,67161,17297,9343,Medium,0.3079292174036886,1.195631275368511,0.1663284198533077,Medium Saver,1,0
23,72874,65979,73323,10637,Low,1.0061613195378325,0.9053846364958696,0.1459642670911436,,0,2
49,37657,21979,28816,34724,Medium,0.7652229333191705,0.5836630639721698,0.9221127546007384,High Saver,1,0
44,114386,41189,45695,39791,Low,0.3994807056807651,0.3600877729792107,0.3478659975871173,Medium Saver,0,1
58,55425,57600,24702,29134,Medium,0.4456833558863329,1.0392422192151556,0.5256472710870546,High Saver,1,0
53,56685,74560,30242,46830,Medium,0.5335097468466085,1.3153391549792717,0.8261444826673723,High Saver,1,0
54,142855,76558,60841,47101,Low,0.425893388400826,0.5359140387105806,0.3297119456791852,High Saver,0,2
22,54578,21910,72712,3907,Low,1.3322584191432445,0.4014438051962329,0.0715856205797207,,0,1
40,58831,72713,58574,33575,Low,0.9956315547925414,1.2359640325678638,0.570702520779861,High Saver,0,2
23,37906,61857,33482,46799,Medium,0.8832902442885031,1.6318524771803935,1.2346066585764786,High Saver,1,0
47,91413,49964,14171,4827,High,0.1550217146357739,0.5465743384420159,0.0528043057333202,Low Saver,2,0
53,84028,40227,8696,30607,High,0.1034893130861141,0.4787332793830628,0.3642476317418003,Low Saver,2,0
27,37287,20978,25058,13699,Medium,0.6720304663823853,0.5626089521817256,0.3673934615281465,High Saver,1,1
53,63660,32153,25313,37292,Medium,0.3976280238768457,0.5050738297203896,0.5857995601633679,Medium Saver,1,0
25,105758,74765,24149,47961,Medium,0.2283420639573365,0.7069441555248775,0.4534976077459861,Medium Saver,1,0
32,90504,54071,58521,25883,Low,0.6466123044285336,0.5974432069300805,0.2859873596747105,High Saver,0,2
38,89720,84519,50740,48991,Low,0.5655372269282212,0.9420307623718236,0.5460432456531431,High Saver,0,2
59,132979,24503,9956,5313,High,0.0748689642725543,0.1842621767346723,0.039953676896352,Low Saver,2,1
45,64701,75703,71641,13598,Low,1.1072626389082083,1.1700437396639929,0.2101667671287924,,0,2
26,113300,79379,68811,45826,Low,0.6073345101500441,0.7006090026478377,0.4044660194174757,High Saver,0,2
55,140177,72866,57160,49909,Low,0.4077701762771353,0.5198142348602125,0.3560427174215456,High Saver,0,2
27,47674,31905,56313,28807,Low,1.1812098837941016,0.6692327054579016,0.604249695850988,,0,2
43,113560,60838,68232,4887,Low,0.6008453680873547,0.5357344135258894,0.0430345191969003,High Saver,0,2
32,141543,73279,20417,3854,Medium,0.1442459182015359,0.5177154645584734,0.0272284747391252,Low Saver,1,0
37,53874,41806,29729,45226,Medium,0.5518246278353195,0.7759958421502023,0.8394772988825778,High Saver,1,0
54,73642,60000,35099,14536,Medium,0.4766166046549523,0.8147524510469569,0.1973873604736427,High Saver,1,0
30,127820,37168,34961,3558,Medium,0.2735174464090126,0.2907839148803004,0.0278360194022844,Medium Saver,1,1
27,95160,85119,17602,9772,Medium,0.1849726775956284,0.8944829760403531,0.1026902059688945,Low Saver,1,0
37,47602,53714,14256,36343,High,0.2994832149909667,1.128397966471997,0.7634763245241797,Medium Saver,2,0
50,133320,69093,39681,35186,Medium,0.2976372637263726,0.5182493249324932,0.2639213921392139,Medium Saver,1,0
24,118801,70419,69789,36966,Low,0.5874445501300494,0.5927475357951533,0.3111589969781399,High Saver,0,2
41,55931,64145,48361,33769,Low,0.8646546637821602,1.1468595233412595,0.6037617779049186,High Saver,0,2
57,124377,17461,69503,39887,Low,0.5588091045772128,0.1403876922582149,0.3206943405935181,High Saver,0,1
40,59192,29291,39540,19229,Medium,0.6679956750912286,0.4948472766590079,0.3248580889309366,High Saver,1,1
47,76542,61804,31536,9673,Medium,0.4120090930469546,0.8074521177915392,0.1263750620574325,High Saver,1,0
24,72520,79946,68043,27877,Low,0.938265306122449,1.102399338113624,0.3844043022614451,High Saver,0,2
40,94772,76332,61575,31601,Low,0.649717216055375,0.8054277634744439,0.333442366943823,High Saver,0,2
41,88762,45841,7871,38084,High,0.0886753340393411,0.5164484802054934,0.4290574795520606,Low Saver,2,0
53,80106,63758,51002,16244,Low,0.6366813971487779,0.7959204054627619,0.2027813147579457,High Saver,0,2
28,111121,52643,54812,27356,Low,0.4932640994951449,0.4737448367095328,0.2461820897940083,High Saver,0,2
54,55559,65408,27626,16806,Medium,0.4972371712953797,1.1772710091974297,0.3024892456667686,High Saver,1,0
39,135595,58950,64979,23099,Low,0.4792138353184114,0.4347505438991113,0.1703528891183303,High Saver,0,2
22,63742,71849,71668,44641,Low,1.1243450158451256,1.1271845878698503,0.7003388660537793,,0,2
32,99669,43044,47998,37034,Low,0.4815740099730106,0.4318694880052975,0.3715698963569415,High Saver,0,1
49,110199,30997,68814,40317,Low,0.6244521275147688,0.2812820443016724,0.3658563144856124,High Saver,0,1
46,51754,38911,50607,19094,Low,0.9778374618386984,0.7518452679986088,0.3689376666537852,High Saver,0,2
44,33972,70533,12812,10589,High,0.377134110443895,2.0762098198516425,0.3116978688331567,Medium Saver,2,0
52,100831,29571,66844,1657,Low,0.6629310430324008,0.2932729021828604,0.0164334381291467,High Saver,0,1
51,142217,72941,75093,32764,Low,0.5280170443758482,0.5128852387548606,0.2303803342778992,High Saver,0,2
56,71873,73005,7179,39531,High,0.0998845185257329,1.0157500034783578,0.5500118264160394,Low Saver,2,0
28,124661,73712,48798,3164,Low,0.3914456004684705,0.5912996045274785,0.025380832818604,Medium Saver,0,2
37,136532,58541,79601,27542,Low,0.5830208302815457,0.4287712770632526,0.2017256027890897,High Saver,0,2
47,39903,38387,13275,18437,High,0.3326817532516352,0.9620078690825252,0.4620454602410846,Medium Saver,2,0
23,33020,63908,55574,41247,Low,1.6830405814657785,1.9354330708661416,1.249152029073289,,0,2
22,71755,28057,52857,38505,Low,0.7366315936171696,0.3910110793672914,0.5366176573061111,High Saver,0,1
33,115956,79028,25700,19601,Medium,0.2216357928869571,0.6815343751077995,0.1690382558901652,Medium Saver,1,0
26,116988,70731,44464,28430,Low,0.3800731698977673,0.6046004718432659,0.2430163777481451,Medium Saver,0,2
58,75648,39858,47351,6009,Low,0.6259385575296108,0.5268876903553299,0.079433692893401,High Saver,0,1
53,133537,63689,18869,49759,Medium,0.1413016617117353,0.476938975714596,0.3726233178819353,Low Saver,1,0
30,39516,59638,65315,4552,Low,1.6528747848972567,1.509211458649661,0.1151938455309241,,0,2
56,142863,61486,25954,9417,Medium,0.1816705515073882,0.4303843542414761,0.0659162974318053,Low Saver,1,1
40,145005,35567,36555,41989,Medium,0.2520947553532637,0.2452811972000965,0.2895693251956829,Medium Saver,1,1
37,32396,44739,68353,2671,Low,2.109920977898506,1.3810038276330412,0.0824484504259785,,0,2
24,114082,72804,50026,6519,Low,0.4385091425465893,0.6381725425571081,0.0571431075892778,High Saver,0,2
41,49129,18754,51976,36730,Low,1.0579494799405649,0.3817297319302245,0.7476236031671721,,0,1
45,31591,42044,50095,12734,Low,1.5857364439239023,1.3308853787471115,0.4030894875122661,,0,2
54,41303,82260,19270,45890,Medium,0.4665520664358521,1.9916228845362325,1.111057308185846,High Saver,1,0
45,60561,81912,35908,3722,Medium,0.5929228381301498,1.3525536236191609,0.06145869453939,High Saver,1,0
32,101719,23706,20523,4906,Medium,0.2017617161002369,0.2330538050904944,0.0482309106459953,Medium Saver,1,1
29,148618,23894,67433,30096,Low,0.4537337334643179,0.1607746033454898,0.2025057530043467,High Saver,0,1
57,122108,33037,52068,40031,Low,0.4264094080649916,0.2705555737543814,0.3278327382317293,High Saver,0,1
59,129616,66612,24991,13699,Medium,0.1928079866683125,0.5139180348105172,0.1056891124552524,Low Saver,1,0
41,116231,44725,15775,21438,Medium,0.1357211071056774,0.3847940738701379,0.1844430487563558,Low Saver,1,1
56,37314,20926,66250,43856,Low,1.7754730128102052,0.5608082757142091,1.1753229350913863,,0,2
46,147071,24496,21673,33576,Medium,0.1473641982443853,0.1665590089140619,0.2282978969341338,Low Saver,1,1
56,49623,71447,32056,41938,Medium,0.645990770408883,1.439796062309816,0.8451322975233259,High Saver,1,0
46,97675,44806,11614,49028,High,0.1189045303301766,0.4587253647299718,0.5019503455336576,Low Saver,2,0
50,142992,56321,12415,49877,High,0.0868230390511357,0.393875181828354,0.3488097236209018,Low Saver,2,0
39,126826,80095,48884,32247,Low,0.3854414709917524,0.6315345433901566,0.2542617444372605,Medium Saver,0,2
39,95082,37656,21964,43461,Medium,0.2310006099997896,0.3960371048147914,0.4570896699690793,Medium Saver,1,0
23,113624,70147,42726,27938,Low,0.3760297120326691,0.617360768851651,0.2458811518693233,Medium Saver,0,2
56,135228,64666,42044,40469,Low,0.3109119413139291,0.4781997811104209,0.2992649451297068,Medium Saver,0,0
37,63130,53787,62149,17600,Low,0.9844606367812452,0.852003801679075,0.2787897988278156,High Saver,0,2
57,81756,77946,42544,20435,Low,0.520377709281276,0.9533979157493028,0.2499510739272958,High Saver,0,2
54,127624,36727,54976,18581,Low,0.4307653732840218,0.2877750266407572,0.1455917382310537,High Saver,0,1
25,56292,83056,37252,14191,Medium,0.6617636609109643,1.4754494421942728,0.2520962126056988,High Saver,1,0
54,141785,18081,8832,19190,High,0.0622914976901646,0.1275240681313256,0.1353457700038791,Low Saver,2,1
35,116206,49196,39148,27386,Medium,0.3368844982186806,0.4233516341669104,0.2356676935786448,Medium Saver,1,1
42,99274,51735,66240,31721,Low,0.6672441928400186,0.5211334286923062,0.3195297862481616,High Saver,0,2
41,32469,40498,58459,13704,Low,1.8004558193969633,1.2472820228525672,0.4220641227016539,,0,2
29,83947,46656,43402,2123,Low,0.5170166891014568,0.5557792416643835,0.0252897661619831,High Saver,0,1
28,52534,82695,62727,25174,Low,1.194026725549168,1.574123424829634,0.4791944264666692,,0,2
24,93620,52900,43578,44301,Low,0.4654774620807519,0.565050202948088,0.4732001709036531,High Saver,0,0
38,78874,62701,27318,49376,Medium,0.3463498744833532,0.7949514415396709,0.6260111063214747,Medium Saver,1,0
54,79708,34033,25466,47216,Medium,0.3194911426707482,0.4269709439454007,0.592362121744367,Medium Saver,1,0
33,104553,25805,50475,14586,Low,0.4827695044618519,0.2468126213499373,0.1395081920174457,High Saver,0,1
43,98344,50851,65142,31976,Low,0.6623891645651997,0.5170727243146506,0.3251443911168958,High Saver,0,2
43,79138,41832,31564,25416,Medium,0.3988475827036316,0.5285956177815967,0.3211605044352902,Medium Saver,1,0
51,84302,78437,27412,1814,Medium,0.3251642902896728,0.9304286968280704,0.0215178762069701,Medium Saver,1,0
59,77638,28944,56001,13001,Low,0.7213091527344857,0.3728071305288647,0.1674566578222004,High Saver,0,1
59,108249,34873,62649,16508,Low,0.5787489953717817,0.322155400973681,0.1525002540439172,High Saver,0,1
29,135865,55372,65957,19630,Low,0.4854598314503367,0.4075516137342215,0.144481654583594,High Saver,0,2
48,32719,30379,40517,13380,Low,1.2383324673736973,0.9284819218191264,0.4089367034444818,,0,1
